age,fnlwgt,education,education-num,occupation,relationship,sex,hours-per-week,income
49,191681,10512,10,6058,19396,31937,50,7841
25,200681,10512,10,1843,7228,31937,40,24720
19,101509,10512,10,6110,7228,31937,32,24720
31,309974,7881,13,5474,7228,15684,40,24720
29,162298,7881,13,5474,19396,31937,70,7841
23,211678,10512,10,3006,12281,31937,40,24720
79,124744,10512,10,6110,1441,31937,20,24720
27,213921,15444,9,4891,7228,31937,40,24720
40,32214,1566,12,5589,19396,31937,40,24720
67,212759,1336,6,1843,19396,31937,2,24720
18,309634,1746,7,4891,7228,15684,22,24720
31,125927,912,4,1485,19396,31937,40,24720
18,446839,15444,9,5474,12281,31937,30,24720
52,276515,7881,13,4891,19396,31937,40,24720
46,51618,15444,9,4891,2253,15684,40,24720
59,159937,15444,9,5474,19396,31937,48,24720
44,343591,15444,9,6089,12281,15684,40,7841
53,346253,15444,9,5474,7228,15684,35,24720
49,268234,15444,9,981,19396,31937,40,7841
33,202051,2610,14,6110,19396,31937,50,24720
30,54334,735,5,5474,12281,31937,40,24720
43,410867,582,16,6110,12281,15684,50,7841
57,249977,2034,11,6110,19396,31937,40,24720
37,286730,10512,10,6089,5022,15684,40,24720
28,212563,10512,10,3006,5022,15684,25,24720
30,117747,15444,9,5474,2253,15684,35,24720
34,226296,7881,13,981,19396,31937,40,7841
29,115585,10512,10,2066,12281,31937,50,24720
48,191277,582,16,6110,19396,31937,60,7841
37,202683,10512,10,5474,19396,31937,48,7841
48,171095,1566,12,6058,5022,15684,40,24720
32,249409,15444,9,4891,7228,31937,40,24720
76,124191,2610,14,6058,19396,31937,40,7841
44,198282,7881,13,6058,19396,31937,60,7841
47,149116,2610,14,6110,12281,15684,50,24720
20,188300,10512,10,1436,7228,15684,40,24720
29,103432,15444,9,6089,12281,31937,40,24720
32,317660,15444,9,6089,19396,31937,40,7841
17,304873,1336,6,1843,7228,15684,32,24720
30,194901,1746,7,2066,7228,31937,40,24720
31,189265,15444,9,5589,12281,15684,40,24720
42,124692,15444,9,2066,19396,31937,40,24720
24,432376,7881,13,5474,1441,31937,40,24720
38,65324,819,15,6110,19396,31937,40,7841
56,335605,15444,9,4891,19396,31937,50,7841
28,377869,10512,10,5474,2253,15684,25,24720
36,102864,15444,9,3006,7228,15684,40,24720
53,95647,735,5,2066,19396,31937,50,24720
56,303090,10512,10,5474,19396,31937,50,24720
49,197371,2034,11,6089,19396,31937,40,7841
55,247552,10512,10,5474,19396,31937,56,24720
22,102632,15444,9,6089,12281,31937,41,24720
21,199915,10512,10,4891,7228,15684,40,24720
40,118853,7881,13,6058,19396,31937,60,24720
30,77143,7881,13,6058,7228,31937,40,24720
29,267989,7881,13,6110,19396,31937,50,7841
19,301606,10512,10,4891,7228,31937,35,24720
47,287828,7881,13,6058,2253,15684,40,7841
20,111697,10512,10,5589,7228,15684,28,24720
31,114937,1566,12,5589,19396,31937,40,7841
35,129305,15444,9,1843,19396,31937,40,24720
39,365739,10512,10,6089,12281,31937,40,24720
28,69621,1566,12,5474,12281,15684,60,24720
24,43323,15444,9,4891,12281,15684,40,24720
38,120985,15444,9,6089,19396,31937,35,24720
37,254202,7881,13,5474,19396,31937,50,24720
46,146195,1566,12,1436,12281,15684,36,24720
38,125933,2610,14,6110,19396,31937,40,7841
43,56920,15444,9,6089,19396,31937,60,24720
27,163127,2034,11,5589,2253,15684,35,24720
20,34310,10512,10,5474,7228,31937,20,24720
49,81973,10512,10,6089,19396,31937,40,7841
61,66614,15444,9,6089,19396,31937,40,24720
27,232782,10512,10,5474,7228,15684,40,24720
19,316868,10512,10,4891,7228,31937,30,24720
45,196584,2034,11,6110,12281,15684,40,7841
70,105376,10512,10,1436,1441,31937,40,24720
31,185814,15444,9,2341,5022,15684,30,24720
22,175374,10512,10,4891,19396,31937,24,24720
36,108293,15444,9,4891,5022,15684,24,24720
64,181232,1746,7,6089,19396,31937,40,24720
43,174662,10512,10,1843,12281,15684,40,24720
47,186009,10512,10,5589,5022,15684,38,24720
34,198183,15444,9,5589,12281,15684,40,24720
33,163003,7881,13,6058,1441,15684,40,24720
21,296158,15444,9,6089,7228,31937,35,24720
52,252903,15444,9,1843,12281,31937,45,7841
48,187715,15444,9,6089,19396,31937,46,24720
23,214542,7881,13,2066,12281,31937,40,24720
71,494223,10512,10,5474,5022,31937,2,24720
29,191535,15444,9,6089,12281,31937,60,24720
42,228456,7881,13,4891,1441,31937,50,24720
68,38317,239,2,1843,12281,15684,20,24720
25,252752,15444,9,4891,5022,15684,40,24720
44,78374,2610,14,6058,5022,15684,40,24720
28,88419,15444,9,6058,12281,15684,40,24720
45,201080,2610,14,5474,19396,31937,40,7841
36,207157,10512,10,4891,5022,15684,40,24720
39,235485,1566,12,6058,12281,31937,42,24720
46,102628,2610,14,981,5022,31937,40,24720
18,25828,1746,7,2066,7228,31937,16,24720
66,54826,2034,11,6110,12281,15684,20,24720
27,124953,15444,9,4891,12281,31937,40,24720
28,175325,15444,9,981,19396,31937,40,24720
51,96062,10512,10,5474,19396,31937,40,7841
27,428030,7881,13,6089,12281,31937,50,24720
28,149624,7881,13,6110,19396,31937,40,7841
27,253814,15444,9,5474,5022,15684,25,24720
21,312956,15444,9,6089,7228,31937,40,24720
34,483777,15444,9,2066,12281,31937,40,24720
18,183930,15444,9,4891,7228,31937,12,24720
33,37274,7881,13,6110,19396,31937,65,24720
44,181344,10512,10,6058,19396,31937,38,7841
43,114580,10512,10,5589,12281,15684,40,24720
30,633742,10512,10,6089,12281,31937,45,24720
40,286370,912,4,3006,19396,31937,40,7841
37,29054,10512,10,5589,19396,31937,42,7841
34,304030,15444,9,5589,19396,31937,40,24720
41,143129,7881,13,6058,12281,15684,40,24720
53,135105,7881,13,1843,12281,15684,50,24720
31,99928,2610,14,6110,2253,15684,50,24720
58,109567,582,16,6110,19396,31937,1,7841
38,155222,10512,10,3006,12281,15684,28,24720
24,159567,10512,10,3006,19396,31937,40,24720
41,523910,7881,13,6089,19396,31937,40,24720
47,120939,10512,10,1436,19396,31937,45,24720
41,130760,7881,13,1436,19396,31937,24,24720
23,197387,494,3,2341,1441,31937,40,24720
36,99374,10512,10,6089,12281,31937,40,24720
40,56795,2610,14,6058,12281,15684,55,7841
35,138992,2610,14,6110,1441,31937,40,7841
24,32921,15444,9,5474,12281,31937,40,24720
26,397317,2610,14,6110,12281,15684,40,24720
19,170653,15444,9,1843,7228,31937,40,24720
51,259323,7881,13,6058,19396,31937,50,7841
42,254817,10512,10,6110,12281,15684,40,24720
37,48211,15444,9,5589,5022,15684,35,24720
18,140164,1746,7,5474,7228,15684,40,24720
36,128757,7881,13,4891,19396,31937,36,7841
35,36270,15444,9,6089,12281,31937,60,24720
58,210563,15444,9,5474,2253,15684,35,7841
17,65368,1746,7,5474,7228,15684,12,24720
44,160943,15444,9,2341,19396,31937,40,24720
37,208358,15444,9,6089,19396,31937,40,7841
35,153790,10512,10,5474,12281,15684,40,24720
60,85815,15444,9,6089,19396,31937,40,24720
54,125417,912,4,3006,19396,31937,40,7841
37,635913,7881,13,6058,12281,31937,60,7841
50,313321,1566,12,5474,12281,15684,40,24720
38,182609,7881,13,5474,19396,31937,50,24720
45,109434,7881,13,6110,19396,31937,55,24720
25,255004,1336,6,6089,12281,31937,40,24720
31,197860,10512,10,2066,19396,31937,40,24720
64,187656,239,2,1843,12281,31937,40,24720
90,51744,15444,9,4891,12281,31937,40,24720
54,176681,15444,9,5589,19396,31937,20,24720
53,140359,78,1,3006,12281,15684,35,24720
18,243313,15444,9,5474,7228,15684,40,24720
60,24215,1336,6,1843,12281,15684,10,24720
66,167687,15444,9,1485,19396,31937,50,24720
75,314209,2034,11,5589,12281,15684,20,24720
65,176796,15444,9,5589,12281,15684,40,24720
35,538583,1746,7,2341,12281,31937,40,24720
41,130408,15444,9,5474,5022,15684,38,24720
25,159732,10512,10,5589,12281,31937,42,24720
33,110978,10512,10,6089,1441,15684,40,24720
28,76714,819,15,6110,12281,31937,55,7841
59,268700,15444,9,4891,19396,31937,40,24720
40,170525,10512,10,5589,12281,15684,38,24720
41,180138,7881,13,6058,19396,31937,50,7841
38,115076,2610,14,6058,19396,31937,70,7841
23,115458,15444,9,2341,7228,31937,40,24720
40,347890,7881,13,6110,19396,31937,40,7841
41,196001,15444,9,4891,2253,15684,20,24720
24,273905,1566,12,981,19396,31937,50,24720
20,119156,10512,10,1843,7228,31937,20,24720
38,179488,10512,10,6089,12281,31937,40,24720
56,203580,15444,9,5589,19396,31937,35,24720
58,236596,15444,9,5589,19396,31937,45,7841
32,183916,15444,9,4891,12281,15684,34,24720
40,207578,1566,12,1436,19396,31937,60,7841
45,153141,15444,9,5589,19396,31937,40,24720
41,112763,819,15,6110,2253,15684,40,7841
42,390781,7881,13,5589,2253,15684,40,24720
59,171328,1336,6,4891,5022,15684,30,24720
19,27382,10512,10,5589,7228,31937,40,24720
58,259014,10512,10,2341,12281,31937,20,24720
42,303044,15444,9,1485,19396,31937,40,7841
20,117789,15444,9,4891,7228,15684,40,24720
32,172579,15444,9,4891,12281,15684,30,24720
45,187666,2034,11,6058,12281,15684,45,24720
50,204518,912,4,6089,12281,31937,40,24720
36,150042,7881,13,6110,7228,15684,40,24720
45,98092,15444,9,5474,19396,31937,60,24720
17,245918,1746,7,4891,7228,31937,12,24720
59,146013,10512,10,5474,19396,31937,40,24720
26,378322,1746,7,6089,19396,31937,40,24720
37,257295,10512,10,6058,19396,31937,75,7841
19,218956,10512,10,1843,7228,31937,24,24720
64,21174,15444,9,6058,19396,31937,40,7841
33,185480,7881,13,6110,12281,15684,45,24720
33,222205,15444,9,6089,2253,15684,40,7841
61,69867,15444,9,6058,19396,31937,40,7841
17,191260,735,5,4891,7228,31937,24,24720
50,30653,2610,14,1485,19396,31937,98,24720
27,209109,2610,14,6110,7228,31937,35,24720
30,70377,15444,9,6110,7228,15684,40,24720
43,477983,15444,9,2066,19396,31937,40,24720
44,170924,10512,10,6089,19396,31937,40,7841
35,190174,10512,10,6058,12281,15684,40,24720
25,193787,10512,10,1436,7228,15684,40,24720
24,279472,10512,10,3006,2253,15684,48,7841
22,34918,7881,13,6110,12281,15684,15,24720
42,97688,10512,10,6089,19396,31937,40,7841
34,175413,1566,12,5474,5022,15684,45,24720
60,173960,7881,13,6110,12281,15684,42,24720
21,205759,15444,9,2066,7228,31937,40,24720
57,425161,2610,14,5474,19396,31937,40,7841
41,220531,819,15,6110,19396,31937,60,7841
50,176609,10512,10,4891,12281,31937,45,24720
25,371987,7881,13,6058,12281,15684,40,24720
50,193884,912,4,6089,19396,31937,40,24720
36,200352,7881,13,6110,19396,31937,45,24720
31,127595,15444,9,6110,12281,15684,40,24720
29,220419,7881,13,981,12281,31937,56,24720
21,231931,10512,10,5474,7228,31937,45,24720
27,248402,7881,13,1436,5022,15684,40,24720
65,111095,15444,9,2341,19396,31937,16,24720
37,57424,7881,13,5474,12281,15684,60,24720
39,157443,2610,14,1843,2253,15684,40,24720
24,278130,15444,9,6089,7228,31937,40,24720
38,169469,15444,9,5474,12281,31937,80,24720
48,146268,7881,13,5589,19396,31937,40,7841
21,153718,10512,10,4891,12281,15684,25,24720
31,217460,15444,9,2341,19396,31937,45,7841
55,238638,15444,9,5474,19396,31937,40,7841
24,303296,10512,10,5589,2253,15684,40,24720
43,173321,15444,9,5589,12281,15684,40,24720
26,193945,1566,12,1436,12281,31937,45,24720
46,83082,1566,12,6110,12281,15684,33,24720
35,193815,1566,12,5589,19396,31937,40,7841
41,34987,10512,10,1485,19396,31937,54,7841
26,59306,7881,13,5474,12281,31937,40,24720
34,142897,2610,14,6058,19396,31937,35,7841
19,860348,10512,10,1843,7228,15684,25,24720
36,205607,7881,13,6110,12281,15684,40,7841
22,199698,10512,10,5474,7228,31937,15,24720
24,191954,10512,10,3006,12281,31937,40,24720
77,138714,10512,10,5474,19396,31937,40,24720
22,399087,494,3,3006,1441,15684,40,24720
29,423158,10512,10,1436,12281,15684,40,24720
62,159841,15444,9,4891,12281,15684,24,24720
39,174308,15444,9,6058,19396,31937,40,24720
43,50356,10512,10,6089,19396,31937,50,24720
35,186110,15444,9,2341,12281,31937,45,24720
29,200381,1746,7,6058,12281,15684,40,24720
76,174309,2610,14,6089,19396,31937,10,24720
63,78383,15444,9,1485,19396,31937,45,24720
23,211601,2034,11,1843,7228,15684,15,24720
43,187728,10512,10,6110,2253,15684,50,7841
58,321171,15444,9,2066,19396,31937,40,24720
66,127921,15444,9,2341,12281,31937,55,24720
41,206565,10512,10,6089,12281,31937,45,24720
26,224563,7881,13,5589,12281,31937,40,24720
47,178686,2034,11,4891,12281,31937,40,24720
55,98545,1336,6,5589,19396,31937,40,24720
53,242606,15444,9,2341,19396,31937,40,24720
17,270942,494,3,4891,1441,31937,48,24720
30,94235,15444,9,6089,1441,31937,40,24720
49,71195,2610,14,6110,12281,31937,60,24720
19,104112,15444,9,5474,5022,31937,30,24720
45,261192,15444,9,4891,19396,31937,40,24720
26,94936,1566,12,5474,12281,31937,40,24720
38,296478,2034,11,6089,19396,31937,40,7841
36,119272,15444,9,981,19396,31937,40,7841
33,85043,15444,9,1485,12281,31937,20,24720
22,293364,10512,10,981,7228,15684,40,24720
43,241895,7881,13,5474,12281,31937,42,24720
67,36135,1746,7,1843,19396,31937,8,24720
30,151989,2034,11,1843,5022,15684,40,24720
56,101128,1566,12,4891,12281,31937,25,24720
31,156464,7881,13,6110,7228,31937,25,24720
33,117963,7881,13,6058,19396,31937,40,7841
26,192262,15444,9,4891,19396,31937,40,24720
33,111363,7881,13,6058,19396,31937,40,7841
46,329752,1746,7,2341,19396,31937,30,24720
59,372020,7881,13,1843,19396,31937,40,7841
38,95432,15444,9,5589,19396,31937,40,7841
65,161400,1746,7,4891,5022,31937,40,24720
40,96129,2034,11,1436,19396,31937,40,7841
42,111949,15444,9,5589,2253,15684,35,24720
26,117125,735,5,6089,19396,31937,40,24720
36,348022,1336,6,4891,2253,15684,24,24720
62,270092,2610,14,6110,19396,31937,40,7841
43,180609,7881,13,2341,19396,31937,45,24720
43,174575,7881,13,6058,12281,31937,45,7841
22,410439,15444,9,5474,12281,31937,55,24720
28,92262,15444,9,6089,19396,31937,40,24720
56,183081,10512,10,5474,19396,31937,45,24720
22,362589,1566,12,5474,12281,15684,15,24720
57,212448,7881,13,6058,12281,15684,45,7841
39,481060,15444,9,5474,5022,15684,40,24720
26,185885,10512,10,5589,5022,15684,15,24720
17,89821,1746,7,4891,7228,31937,10,24720
40,184018,2034,11,3006,19396,31937,38,7841
45,256649,15444,9,3006,19396,31937,40,24720
44,160323,15444,9,6089,12281,31937,40,24720
20,350845,10512,10,5589,7228,15684,10,24720
33,267404,15444,9,6089,2253,15684,40,24720
23,35633,10512,10,5474,12281,31937,40,24720
46,80914,2610,14,6058,12281,31937,30,24720
38,172927,15444,9,5474,19396,31937,50,24720
54,174319,15444,9,2341,12281,31937,40,24720
46,214955,494,3,6089,12281,15684,45,24720
25,344991,10512,10,6089,19396,31937,40,24720
46,108699,10512,10,5474,12281,15684,40,24720
36,117312,10512,10,2341,2253,15684,40,24720
23,396099,15444,9,4891,12281,15684,25,24720
29,134152,15444,9,3006,12281,31937,40,24720
44,162028,10512,10,5589,2253,15684,6,7841
19,25429,10512,10,5589,7228,15684,16,24720
19,232392,15444,9,4891,1441,15684,40,24720
35,220098,15444,9,4891,2253,15684,40,7841
27,301302,7881,13,6089,12281,31937,50,24720
46,277946,1566,12,6089,12281,31937,40,24720
34,98101,7881,13,6058,19396,31937,45,7841
34,196164,15444,9,4891,12281,15684,35,24720
44,115562,10512,10,1436,19396,31937,40,24720
45,96975,10512,10,2066,5022,15684,40,24720
20,137300,15444,9,1843,1441,15684,35,24720
25,86872,7881,13,6058,19396,31937,55,7841
52,132178,7881,13,6058,19396,31937,50,7841
20,416103,10512,10,2066,7228,31937,40,24720
28,108574,10512,10,4891,12281,15684,40,24720
50,288353,7881,13,981,19396,31937,40,7841
34,227689,2034,11,1436,12281,15684,64,24720
28,166481,912,4,2066,19396,31937,40,24720
41,445382,2610,14,6058,19396,31937,65,7841
28,110145,15444,9,5589,19396,31937,40,24720
46,317253,15444,9,6089,19396,31937,25,24720
28,123147,10512,10,1843,2253,15684,40,7841
32,364657,10512,10,6058,19396,31937,50,24720
41,42346,10512,10,4891,12281,15684,24,24720
24,241951,15444,9,2066,5022,15684,40,24720
33,118500,10512,10,6058,5022,15684,40,24720
46,188386,582,16,6058,19396,31937,60,7841
31,1033222,10512,10,3006,19396,31937,40,24720
35,92440,633,8,6089,12281,31937,50,7841
52,190762,239,2,3006,19396,31937,40,24720
30,426017,1746,7,4891,7228,15684,19,24720
34,243867,1746,7,3006,12281,31937,40,24720
34,240283,15444,9,2341,5022,15684,40,24720
20,61777,10512,10,5474,19396,31937,30,24720
17,175024,1746,7,2066,7228,31937,18,24720
32,92003,7881,13,6058,2253,15684,40,7841
29,188401,15444,9,1485,12281,31937,40,24720
33,228528,1336,6,6089,5022,15684,35,24720
25,133373,15444,9,2341,19396,31937,60,24720
36,255191,2610,14,6110,12281,31937,40,24720
23,204653,15444,9,2066,12281,31937,72,24720
63,222289,15444,9,6058,19396,31937,40,7841
47,287480,2610,14,6110,19396,31937,40,24720
80,107762,15444,9,1843,12281,31937,24,24720
17,202521,1746,7,1843,7228,31937,40,24720
40,204116,7881,13,6110,12281,15684,40,24720
30,29662,1566,12,4891,2253,15684,25,7841
27,116358,10512,10,6089,7228,31937,40,24720
33,208405,2610,14,6110,19396,31937,50,7841
34,284843,15444,9,1485,12281,31937,60,24720
34,117018,10512,10,981,12281,15684,40,24720
23,81281,10512,10,5589,19396,31937,40,24720
42,340148,10512,10,5589,2253,15684,40,24720
29,363425,7881,13,6110,12281,31937,40,24720
45,45857,15444,9,5589,12281,15684,28,24720
24,191073,15444,9,14,7228,31937,40,24720
44,116632,10512,10,6110,19396,31937,40,7841
27,405855,735,5,6089,1441,31937,40,24720
20,298227,10512,10,5474,12281,31937,35,24720
44,290521,15444,9,6058,5022,15684,40,24720
51,56915,15444,9,6089,19396,31937,40,24720
20,146538,15444,9,3006,19396,31937,40,24720
17,258872,1746,7,1843,7228,15684,5,24720
19,206399,15444,9,3006,7228,15684,40,24720
45,197332,10512,10,6089,19396,31937,55,7841
60,245062,15444,9,6089,19396,31937,40,7841
42,197583,1566,12,6058,19396,31937,40,7841
44,234885,15444,9,5474,2253,15684,40,7841
40,72887,2034,11,3006,19396,31937,40,7841
30,180374,15444,9,6058,2253,15684,40,24720
38,351299,10512,10,2341,19396,31937,50,24720
23,54012,15444,9,2341,19396,31937,60,24720
32,115745,10512,10,1843,19396,31937,40,24720
44,116632,1566,12,1485,7228,31937,40,24720
54,288825,15444,9,2341,19396,31937,40,24720
32,132601,7881,13,6110,19396,31937,50,24720
50,193374,239,2,6089,5022,31937,40,24720
24,170070,7881,13,1436,12281,15684,20,24720
37,126708,15444,9,5589,2253,15684,60,24720
52,35598,15444,9,2341,5022,31937,40,24720
38,33983,10512,10,2341,19396,31937,40,24720
49,192776,2610,14,6058,19396,31937,45,7841
30,118551,7881,13,1436,2253,15684,16,7841
60,201965,10512,10,6110,5022,31937,40,7841
22,139883,10512,10,1843,7228,31937,40,24720
35,285020,15444,9,6089,12281,31937,40,24720
30,303990,15444,9,2341,12281,31937,60,24720
67,49401,2034,11,4891,12281,15684,24,24720
46,279196,7881,13,6089,12281,15684,40,24720
17,211870,735,5,4891,12281,31937,6,24720
22,281432,10512,10,2066,7228,31937,30,24720
27,161155,1336,6,4891,12281,31937,40,24720
23,197904,15444,9,4891,5022,15684,35,24720
33,111746,1566,12,6089,19396,31937,45,24720
43,170721,10512,10,6089,19396,31937,20,24720
28,70100,7881,13,6110,12281,31937,20,24720
41,193626,15444,9,6089,5022,15684,40,24720
52,271749,633,8,1843,1441,31937,40,24720
25,189775,10512,10,5589,7228,15684,20,24720
63,401531,239,2,1843,19396,31937,35,24720
59,286967,15444,9,2341,19396,31937,45,24720
45,164427,7881,13,6110,5022,15684,40,24720
38,91039,7881,13,5474,19396,31937,60,7841
40,347934,15444,9,4891,12281,15684,35,24720
46,371373,15444,9,5589,12281,31937,40,24720
35,32220,1566,12,6058,12281,15684,60,24720
34,187251,15444,9,6110,5022,15684,25,24720
33,178107,7881,13,6089,7228,31937,20,24720
41,343121,15444,9,5589,5022,15684,36,24720
20,262749,10512,10,3006,7228,31937,40,24720
23,403107,494,3,4891,7228,31937,40,24720
26,64293,10512,10,6110,12281,15684,35,24720
72,303588,15444,9,1843,19396,31937,20,24720
23,324960,15444,9,1485,12281,31937,40,24720
62,114060,15444,9,2341,19396,31937,40,24720
52,48925,10512,10,5589,19396,31937,40,24720
58,180980,10512,10,4891,5022,15684,42,24720
25,181054,7881,13,5474,12281,15684,40,24720
24,388093,7881,13,6058,12281,31937,40,24720
19,249609,10512,10,981,7228,31937,8,24720
43,112131,10512,10,6058,19396,31937,40,24720
47,543162,15444,9,5589,5022,15684,40,24720
39,91996,15444,9,4891,5022,15684,40,24720
49,141944,2034,11,2066,5022,31937,42,24720
53,251804,494,3,1843,5022,15684,30,24720
32,37070,2034,11,6089,12281,31937,45,24720
34,337587,10512,10,6110,19396,31937,50,7841
28,189346,15444,9,6089,12281,31937,45,24720
57,222216,2034,11,1843,5022,15684,38,24720
25,267044,10512,10,5589,12281,15684,20,24720
20,214635,10512,10,1843,7228,31937,24,24720
21,204226,10512,10,1843,5022,15684,35,24720
34,108116,7881,13,6110,19396,31937,50,7841
38,99146,7881,13,6058,19396,31937,80,7841
50,196232,15444,9,6058,19396,31937,50,7841
24,248344,10512,10,2066,12281,31937,50,24720
37,186035,10512,10,1436,19396,31937,45,7841
44,177905,10512,10,3006,5022,31937,58,7841
28,85812,10512,10,5474,2253,15684,40,24720
42,221172,7881,13,6058,19396,31937,40,7841
74,99183,10512,10,5589,12281,15684,9,24720
38,190387,15444,9,6089,19396,31937,50,24720
44,202692,2610,14,6110,19396,31937,40,24720
44,109339,1746,7,3006,5022,15684,46,24720
26,108658,15444,9,3006,12281,31937,40,24720
36,197202,15444,9,4891,19396,31937,40,24720
41,101739,1566,12,6058,2253,15684,50,7841
67,231559,819,15,6110,19396,31937,48,7841
39,207853,633,8,1436,19396,31937,50,24720
57,190942,239,2,238,12281,15684,30,24720
29,102345,2034,11,6089,12281,31937,40,24720
31,41493,7881,13,1485,12281,15684,45,24720
34,190027,15444,9,1843,5022,15684,40,24720
44,210525,10512,10,2341,19396,31937,40,24720
29,133937,582,16,6110,7228,31937,40,24720
30,237903,10512,10,2066,5022,15684,40,24720
27,163862,15444,9,2341,12281,31937,40,24720
27,201872,10512,10,5474,19396,31937,50,24720
32,84179,15444,9,2066,12281,15684,45,24720
58,51662,1336,6,4891,2253,15684,8,24720
35,233327,10512,10,981,19396,31937,40,24720
21,259510,15444,9,2066,7228,31937,36,24720
28,184831,10512,10,6089,5022,31937,40,24720
46,245724,10512,10,6058,12281,31937,50,24720
36,27053,15444,9,4891,5022,15684,40,24720
72,205343,1746,7,5589,5022,15684,40,24720
35,229328,15444,9,3006,2253,15684,40,24720
33,319560,2034,11,6089,5022,15684,40,7841
69,136218,1746,7,3006,12281,15684,40,24720
35,54576,15444,9,3006,19396,31937,40,24720
31,323069,15444,9,5589,5022,15684,20,24720
34,148291,15444,9,1436,2253,15684,32,24720
30,152453,1746,7,4891,19396,31937,40,24720
28,114053,7881,13,2341,12281,31937,55,24720
54,212960,7881,13,5474,19396,31937,35,7841
47,264052,10512,10,6110,19396,31937,50,7841
24,82804,15444,9,2066,5022,15684,40,24720
52,334273,7881,13,6110,19396,31937,60,7841
20,27337,15444,9,2066,7228,31937,48,24720
43,188436,2610,14,6058,19396,31937,45,24720
45,433665,912,4,4891,5022,15684,40,24720
29,110663,15444,9,6089,12281,31937,35,24720
47,87490,2610,14,6058,5022,31937,42,24720
24,354351,15444,9,6089,7228,31937,40,24720
51,95469,15444,9,6110,19396,31937,40,24720
17,242718,1746,7,5474,7228,31937,12,24720
37,22463,2034,11,6089,19396,31937,40,7841
27,158156,582,16,6110,12281,15684,70,24720
29,350162,7881,13,6058,2253,31937,40,7841
18,165532,633,8,1843,7228,31937,25,24720
36,28738,1566,12,5474,5022,15684,35,24720
58,283635,7881,13,6110,12281,15684,40,24720
26,86646,10512,10,6089,19396,31937,45,24720
65,195733,10512,10,1843,19396,31937,30,7841
57,69884,15444,9,5474,19396,31937,40,7841
59,199713,15444,9,6089,19396,31937,40,24720
